ID,Job Title,Company,Source,Date Added,Missing Info,Notes,Gmail Link,Job URL
170,Not disclosed,Not disclosed,Cadremploi,2026-05-10,Full JD,"UNREADABLE: Cadremploi HTML-only (6 messages — CDG/FP&A, DAF, Credit Mgr/Tresorerie, Achats/SC) — open Gmail link to review each",https://mail.google.com/mail/u/0/#all/19e111ddf3596b2c,Not available
169,Not disclosed,Not disclosed,Cadremploi,2026-05-10,Full JD,"UNREADABLE: Cadremploi HTML-only (3 offres, modified criteria — Financial Controller OR Finance Manager) — open Gmail link to review",https://mail.google.com/mail/u/0/#all/19e116ebdc8708f6,Not available
174,Not disclosed,Not disclosed,Cadremploi,2026-05-11,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e153b71659e2b6,Not available
175,Not disclosed,Not disclosed,APEC,2026-05-11,Full JD,UNREADABLE: APEC HTML-only (1 offre) — check apec.fr manually,https://mail.google.com/mail/u/0/#all/19e155edf259a9d1,Not available
173,Not disclosed,Not disclosed,Cadremploi,2026-05-11,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e163b0997b9d04,Not available
172,Not disclosed,Not disclosed,Cadremploi,2026-05-11,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e169271567ae4a,Not available
171,Not disclosed,Not disclosed,Cadremploi,2026-05-11,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e17dd9fa4b9dbc,Not available
215,CONTRÔLEUR DE GESTION INDUSTRIEL H/F,Maison de l'Emploi et de la Formation des Pays Voironnais et Sud Grésivaudan,LinkedIn,2026-05-13,Company name; Salary; Hybrid policy; Full JD,"QUEUED: CDG Industriel in Voironnais area (likely Yellow/Green zone) — strong title match; subject-parsed via Maison de l'Emploi, verify actual employer and full JD",https://mail.google.com/mail/u/0/#all/19e19daf93a2acf8,Not available
194,APEC Alert,Not disclosed,APEC,2026-05-13,Full JD,UNREADABLE: APEC: 11 offres — APEC — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e1afc07c47429b,Not available
196,Cadremploi Alert,Not disclosed,Cadremploi,2026-05-13,Full JD,UNREADABLE: Cadremploi HTML-only (6 alerts) — open Gmail to review — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e1b4f39f8bece4,Not available
206,Responsable Administratif Comptable et Financier H/F,Start People,Direct,2026-05-13,Company name; Salary; Hybrid policy; Full JD,QUEUED: RAF via Start People (staffing) — employer and location unknown; subject-parsed only,https://mail.google.com/mail/u/0/#all/19e1b74f6d01c094,Not available
195,Cadremploi Alert,Not disclosed,Cadremploi,2026-05-13,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e1bb98d867ab0d,Not available
207,Finance Controller H/F,Howmet Aerospace,Direct,2026-05-13,Salary; Hybrid policy; Full JD,"QUEUED: Finance Controller at Howmet Aerospace (aerospace manufacturer, US MNC) — English role; subject-parsed, verify location is Grenoble area and salary",https://mail.google.com/mail/u/0/#all/19e1c84537a0b576,Not available
205,Chef de Projet ERP Ifs H/F,Kanopé RH,Direct,2026-05-13,Salary; Hybrid policy; Full JD,"QUEUED: Chef de Projet ERP IFS via Kanopé RH — strong finance/ERP title match; subject-parsed only, verify location and salary",https://mail.google.com/mail/u/0/#all/19e1ca80dabc8705,Not available
197,APEC Alert,Not disclosed,APEC,2026-05-14,Full JD,UNREADABLE: APEC: 9 offres — APEC — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2054a5a72bc46,Not available
198,Cadremploi Alert,Not disclosed,Cadremploi,2026-05-14,Full JD,UNREADABLE: Cadremploi HTML-only (7 alerts) — open Gmail to review — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2087c813812d9,Not available
199,Cadremploi Alert,Not disclosed,Cadremploi,2026-05-14,Full JD,"UNREADABLE: Cadremploi HTML-only (2 alerts: RAF, Supply Chain) — open Gmail to review — open Gmail link to review and paste JD",https://mail.google.com/mail/u/0/#all/19e20e0cc6c098c0,Not available
200,Cadremploi Alert,Not disclosed,Cadremploi,2026-05-14,Full JD,"UNREADABLE: Cadremploi HTML-only (3 alerts: CDG, CDG Industriel, Pilote Financier) — open Gmail to review — open Gmail link to review and paste JD",https://mail.google.com/mail/u/0/#all/19e222a268b64c43,Not available
223,Finance Controller,Not disclosed,Direct,2026-05-14,Full JD,UNREADABLE: Snippet-only — insufficient data to parse — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e249055e023516,Not available
222,APEC — 9 offres du 14/05/2026,Not disclosed,APEC,2026-05-14,Full JD,UNREADABLE: APEC: 9 offres — Finance Grenoble — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e256f6b231f60f,Not available
225,Alerte Cadremploi — Credit Manager / CDG / RAF / DAF (4 alertes),Not disclosed,Cadremploi,2026-05-14,Full JD,"UNREADABLE: Cadremploi HTML-only — 4 alertes (Credit Manager/Trésorerie, CDG/Pilote, RAF, DAF) — open Gmail link to review and paste JD — open Gmail link to review and paste JD",https://mail.google.com/mail/u/0/#all/19e258094fa6abe0,Not available
226,Alerte Cadremploi — Financial Controller (critères modifiés),Not disclosed,Cadremploi,2026-05-14,Full JD,UNREADABLE: Cadremploi HTML-only (critères modifiés) — Financial Controller — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2606a33aa268f,Not available
224,Alerte Cadremploi — CDG / Pilote / DAF (3 alertes),Not disclosed,Cadremploi,2026-05-14,Full JD,"UNREADABLE: Cadremploi HTML-only — 3 alertes (CDG, CDG/Pilote de flux financier, DAF/Finance Director) — open Gmail link to review and paste JD — open Gmail link to review and paste JD",https://mail.google.com/mail/u/0/#all/19e275077ae4afdc,Not available
239,APEC — 2 offres,APEC,APEC,2026-05-15,Full JD,UNREADABLE: APEC: 2 offres — HTML-only — check apec.fr manually,https://mail.google.com/mail/u/0/#all/19e29f13fa15d302,Not available
236,Alerte Cadremploi — CDG,Not disclosed,Cadremploi,2026-05-15,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2ae6dd12be62e,Not available
237,Alerte Cadremploi — RAF (critères modifiés),Not disclosed,Cadremploi,2026-05-15,Full JD,UNREADABLE: Cadremploi HTML-only — critères modifiés — open Gmail link to review,https://mail.google.com/mail/u/0/#all/19e2b2d8f5acbb93,Not available
238,Alerte HelloWork (digest hebdomadaire),HelloWork,Direct,2026-05-15,Full JD,UNREADABLE: HelloWork HTML-only weekly digest — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2b5258105958e,Not available
255,Not disclosed,Not disclosed,APEC,2026-05-16,Full JD,UNREADABLE: APEC: 5 offres — APEC — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2f86c011d8074,
251,Not disclosed,Not disclosed,Cadremploi,2026-05-16,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e2ffb17938bfb0,
248,Not disclosed,Not disclosed,Cadremploi,2026-05-16,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e305439f550dfd,
303,Not available,Not disclosed,Cadremploi,2026-05-18,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3a6c4d787ce4c,Not available
