id,type,date_added,job_title,company,source,location,salary,job_url,gmail_thread_url,missing_info,notes_short
167,UNREADABLE,Sat May 09,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e0c46aa64b83c8","Full JD","UNREADABLE: Cadremploi HTML-only (4 alerts: Supply Chain, RAF, RAF, Dir Financier) — open Gmail link to review and paste JD"
168,UNREADABLE,Sat May 09,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e0bc0a903688f9","Full JD","UNREADABLE: Cadremploi HTML-only (5 alerts: Achats/SC, CDG, Achats/SC, Credit Mgr/Tresorerie, CDG) — open Gmail link to review and paste JD"
179,QUEUED,Sat May 09,"Controleur de Gestion Groupe","CDI Flex'","Direct","","","Not available","https://mail.google.com/mail/u/0/#all/19e0b8c45cf32467","Location; Salary; Hybrid policy","QUEUED: CDG Groupe @ CDI Flex — subject-parsed, location/salary unknown; CDI confirmed in subject"
169,UNREADABLE,Sun May 10,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e116ebdc8708f6","Full JD","UNREADABLE: Cadremploi HTML-only (3 offres, modified criteria — Financial Controller OR Finance Manager) — open Gmail link to review"
170,UNREADABLE,Sun May 10,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e111ddf3596b2c","Full JD","UNREADABLE: Cadremploi HTML-only (6 messages — CDG/FP&A, DAF, Credit Mgr/Tresorerie, Achats/SC) — open Gmail link to review each"
171,UNREADABLE,Mon May 11,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e17dd9fa4b9dbc","Full JD","UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD"
172,UNREADABLE,Mon May 11,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e169271567ae4a","Full JD","UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD"
173,UNREADABLE,Mon May 11,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e163b0997b9d04","Full JD","UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD"
174,UNREADABLE,Mon May 11,"Not disclosed","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e153b71659e2b6","Full JD","UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD"
175,UNREADABLE,Mon May 11,"Not disclosed","Not disclosed","APEC","","","Not available","https://mail.google.com/mail/u/0/#all/19e155edf259a9d1","Full JD","UNREADABLE: APEC HTML-only (1 offre) — check apec.fr manually"
194,UNREADABLE,Wed May 13,"APEC Alert","Not disclosed","APEC","","","Not available","https://mail.google.com/mail/u/0/#all/19e1afc07c47429b","Full JD","UNREADABLE: APEC: 11 offres — APEC — HTML-only — check apec.fr manually — open Gmail link to review and paste JD"
195,UNREADABLE,Wed May 13,"Cadremploi Alert","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e1bb98d867ab0d","Full JD","UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD"
196,UNREADABLE,Wed May 13,"Cadremploi Alert","Not disclosed","Cadremploi","","","Not available","https://mail.google.com/mail/u/0/#all/19e1b4f39f8bece4","Full JD","UNREADABLE: Cadremploi HTML-only (6 alerts) — open Gmail to review — open Gmail link to review and paste JD"
205,QUEUED,Wed May 13,"Chef de Projet ERP Ifs H/F","Kanopé RH","Direct","","","Not available","https://mail.google.com/mail/u/0/#all/19e1ca80dabc8705","Salary; Hybrid policy; Full JD","QUEUED: Chef de Projet ERP IFS via Kanopé RH — strong finance/ERP title match; subject-parsed only, verify location and salary"
206,QUEUED,Wed May 13,"Responsable Administratif Comptable et Financier H/F","Start People","Direct","","","Not available","https://mail.google.com/mail/u/0/#all/19e1b74f6d01c094","Company name; Salary; Hybrid policy; Full JD","QUEUED: RAF via Start People (staffing) — employer and location unknown; subject-parsed only"
207,QUEUED,Wed May 13,"Finance Controller H/F","Howmet Aerospace","Direct","","","Not available","https://mail.google.com/mail/u/0/#all/19e1c84537a0b576","Salary; Hybrid policy; Full JD","QUEUED: Finance Controller at Howmet Aerospace (aerospace manufacturer, US MNC) — English role; subject-parsed, verify location is Grenoble area and salary"
215,QUEUED,Wed May 13,"CONTRÔLEUR DE GESTION INDUSTRIEL H/F","Maison de l'Emploi et de la Formation des Pays Voironnais et Sud Grésivaudan","LinkedIn","","","Not available","https://mail.google.com/mail/u/0/#all/19e19daf93a2acf8","Company name; Salary; Hybrid policy; Full JD","QUEUED: CDG Industriel in Voironnais area (likely Yellow/Green zone) — strong title match; subject-parsed via Maison de l'Emploi, verify actual employer and full JD"
197,UNREADABLE,Thu May 14,"APEC Alert","Not disclosed","APEC","","","Not available","https://mail.google.com/mail/u/0/#all/19e2054a5a72bc46","Full JD","UNREADABLE: APEC: 9 offres — APEC — HTML-only — check apec.fr manually — open Gmail link to review and paste JD"
