type,id,title,company,location,zone,salary,source,date_added,my_take,job_url,gmail_url,action
QUEUED,206,Responsable Administratif Comptable et Financier H/F,Start People,Unknown,?,Not stated,Direct,2026-05-12,RAF via staffing agency — employer and location completely unknown; weak,Not available,https://mail.google.com/mail/u/0/#all/19e1b74f6d01c094,job expired
QUEUED,265,Responsable Comptable H/F,ORISHA,Unknown,?,Not stated,Direct,2026-05-17,Accounting function — weak fit for Finance Director profile; no location or salary,Not available,https://mail.google.com/mail/u/0/#all/19e3b4dd7b9db811,job expired
QUEUED,266,Contrôleur de gestion F/H,Grenoble INP - UGA,Grenoble,🟢,Not stated,LinkedIn,2026-05-17,Public sector salary risk — CDG at engineering school; confirm comp before applying,https://www.linkedin.com/comm/jobs/view/4401956663/,,job expired
QUEUED,268,Responsable Financier en START-UP,Everywhere App,France,🌐,Not stated,LinkedIn,2026-05-17,Startup — location and salary completely unknown; remote?,https://www.linkedin.com/comm/jobs/view/4412231116/,,job expired
QUEUED,272,Responsable Comptable Interne H/F,In Extenso,Unknown,?,Not stated,Direct,2026-05-18,In Extenso is an accounting firm — likely wrong function,Not available,https://mail.google.com/mail/u/0/#all/19e40cc36b8ca6bc,"replace with this job

https://www.hellowork.com/fr-fr/emplois/79145920.html?utm_campaign=pushOffres&utm_content=liste1title&utm_medium=email&utm_source=pushOffres&utm_term=79145920
Management Controller (M/F)
Michael Page Interim Management
Meylan - 38
Fixed-term contract

€54,000 - €63,000 / year

Temporary employment agency
9 months
Bachelor's degree +3, Bachelor's degree +4
Master's degree (Bac +5)
Business Services
Exp. - 1 year

The job
To apply
Job duties
Reporting to the Head of Management Control, you will be responsible for the following tasks:

* Developing and monitoring budgets and financial forecasts;
* Monitoring industrial subcontracting contracts
; * Calculating logistics costs and inventory variations;
* Implementing KPIs for monitoring
; * Optimizing working capital and providing rational recommendations
; * Analyzing export sales performance
; * Contributing to the preparation of financial audits.

Remote work
"
QUEUED,279,Financial Analyst,BD,Le Pont-de-Claix,🟢,Not stated,LinkedIn,2026-05-19,Target company in Green zone — Financial Analyst title may be junior for profile; check scope,https://www.linkedin.com/jobs/view/4410500985,,job expired
QUEUED,282,Contrôleur de gestion H/F,L'Usine Nouvelle,Vinay,🟡,Not stated,LinkedIn,2026-05-19,L'Usine Nouvelle is a media/publishing company — Yellow zone Vinay,https://www.linkedin.com/jobs/view/4407278169,,job expired
QUEUED,285,Responsable H/F,France Travail,Le Versoud,🟢,Not stated,LinkedIn,2026-05-19,Vague title from supply chain keyword — likely operational; confirm before investing time,https://www.linkedin.com/jobs/view/4416646555,,job expired
QUEUED,290,Gestionnaire Comptable et Achat H/F,CHU Grenoble Alpes,Saint-Laurent-du-Pont,🟡,Not stated,LinkedIn,2026-05-20,Hospital purchasing/accounting — wrong function for Finance Director profile,https://www.linkedin.com/comm/jobs/view/4417073489/,,"Company logo for, CHU Grenoble Alpes.
CHU Grenoble Alpes


Gestionnaire Comptable et Achat - H/F

Saint-Laurent-du-Pont, Auvergne-Rhône-Alpes, France · 1 week ago · 12 people clicked apply

Responses managed off LinkedIn

Full-time
Apply

Save
See how you compare to 12 others who clicked apply

Access exclusive applicant insights, see jobs where you have the highest chance of hearing back, and more.

Retry Premium for €0

People you can reach out to

Company alumni from Schneider Electric

Show all
About the job
Le Centre Hospitalier de Saint-Laurent-du-Pont fait partie de 2 groupements hospitaliers

 GHT Alpes Dauphiné (établissement support : CHU de Grenoble)
 GCS Voironnais / Chartreuse

Le Centre Hospitalier est organisé en 3 filières sur différents sites.

 Filière sanitaire : service de SMR et Médecine (site Saint Bruno)
 Filière Gériatrique : 1 USLD et 1 EHPAD (site le plateau)
 Filière Handicap : 2 EAM (sites St Bruno et le plateau), 1EANM (site St Joseph de Rivière) et 1 EHPAD (Site Miribel-les-Echelles)

Plus de 500 agents de filières soignantes, éducatives, médico-sociales, techniques, logistiques…

Des équipes pluri disciplinaires centrées sur le patient/résident, dynamiques et investies.

Le Poste

Activités principales au sein du Centre Hospitalier et du GCS Voironnais Chartreuse : 

Demande de devis auprès des différents fournisseurs et prestataires
Bon de commandes, réception, facturation
Création produits, mise à jour des références avec les marchés dans logiciel métier (CPage)
Création et suivi des marchés
Balances comptables
Gestion et saisie des inventaires
Tableaux de suivi des budgets alloués aux activités
Traitement des litiges et contentieux avec les fournisseurs
Lien avec la trésorerie au regard des justificatifs demandés
Validation des commandes de papeterie émises par les différents services
Réception et traitement des appels téléphoniques et/ou des messages électroniques
Gestion du coffre-fort

Activités Contributives

Gestion du courrier en l’absence de la standardiste
Réception des commandes au magasin en l’absence du magasinier
Procéder aux achats de la pharmacie en l’absence du gestionnaire

Profil Recherché

Adjoint Administratif :

Connaissances comptables
Maitrise des outils informatiques
Sens de l’organisation et de la planification
Autonomie et rigueur

Horaires

Du lundi au vendredi / 7h30 par jour / horaires à définir

Congés et continuité de service

15 jours de RTT"
QUEUED,298,Controleur de Gestion - Comptable H/F,CG-RH Conseil et Recrutement,Unknown,?,Not stated,Direct,2026-05-20,Placement agency — hybrid CDG/accounting title; employer and location unknown,Not available,https://mail.google.com/mail/u/0/#all/19e4b70d70371f1d,dismiss salary
