type,id,title,company,location,zone,salary,source,date_added,my_take,job_url,gmail_url,action
QUEUED,206,Responsable Administratif Comptable et Financier H/F,Start People,Unknown,?,Not stated,Direct,2026-05-12,RAF via staffing agency — employer and location completely unknown; weak,Not available,https://mail.google.com/mail/u/0/#all/19e1b74f6d01c094,
QUEUED,265,Responsable Comptable H/F,ORISHA,Unknown,?,Not stated,Direct,2026-05-17,Accounting function — weak fit for Finance Director profile; no location or salary,Not available,https://mail.google.com/mail/u/0/#all/19e3b4dd7b9db811,
QUEUED,266,Contrôleur de gestion F/H,Grenoble INP - UGA,Grenoble,🟢,Not stated,LinkedIn,2026-05-17,Public sector salary risk — CDG at engineering school; confirm comp before applying,https://www.linkedin.com/comm/jobs/view/4401956663/,,
QUEUED,268,Responsable Financier en START-UP,Everywhere App,France,🌐,Not stated,LinkedIn,2026-05-17,Startup — location and salary completely unknown; remote?,https://www.linkedin.com/comm/jobs/view/4412231116/,,
QUEUED,272,Responsable Comptable Interne H/F,In Extenso,Unknown,?,Not stated,Direct,2026-05-18,In Extenso is an accounting firm — likely wrong function,Not available,https://mail.google.com/mail/u/0/#all/19e40cc36b8ca6bc,
QUEUED,279,Financial Analyst,BD,Le Pont-de-Claix,🟢,Not stated,LinkedIn,2026-05-19,Target company in Green zone — Financial Analyst title may be junior for profile; check scope,https://www.linkedin.com/jobs/view/4410500985,,
QUEUED,282,Contrôleur de gestion H/F,L'Usine Nouvelle,Vinay,🟡,Not stated,LinkedIn,2026-05-19,L'Usine Nouvelle is a media/publishing company — Yellow zone Vinay,https://www.linkedin.com/jobs/view/4407278169,,
QUEUED,285,Responsable H/F,France Travail,Le Versoud,🟢,Not stated,LinkedIn,2026-05-19,Vague title from supply chain keyword — likely operational; confirm before investing time,https://www.linkedin.com/jobs/view/4416646555,,
QUEUED,290,Gestionnaire Comptable et Achat H/F,CHU Grenoble Alpes,Saint-Laurent-du-Pont,🟡,Not stated,LinkedIn,2026-05-20,Hospital purchasing/accounting — wrong function for Finance Director profile,https://www.linkedin.com/comm/jobs/view/4417073489/,,
QUEUED,298,Controleur de Gestion - Comptable H/F,CG-RH Conseil et Recrutement,Unknown,?,Not stated,Direct,2026-05-20,Placement agency — hybrid CDG/accounting title; employer and location unknown,Not available,https://mail.google.com/mail/u/0/#all/19e4b70d70371f1d,
QUEUED,299,Responsable de Dossiers H/F,Ekko RH,Unknown,?,Not stated,Direct,2026-05-20,Too vague — scope and location and salary all unknown,Not available,https://mail.google.com/mail/u/0/#all/19e493a5a690f3b0,
QUEUED,323,Responsable Financier,Société Dauphinoise,Isère (38),🟢,Not stated,Indeed,2026-05-21,Likely SDH housing company — pagead title approximate; verify employer and scope,Not available,https://mail.google.com/mail/u/0/#all/19e5105187db4d96,
QUEUED,325,Responsable Financier,Université Grenoble Alpes,Saint-Martin-d'Hères (38),🟢,Not stated,Indeed,2026-05-21,Public sector — salary almost certainly below €65k threshold; likely skip,https://fr.indeed.com/viewjob?jk=4fa1d8c68b5bbc,,
QUEUED,327,Contrôleur de gestion F/H,Forum réfugiés,France,🌐,Not stated,LinkedIn,2026-05-21,NGO/nonprofit — salary almost certainly below threshold; likely Lyon HQ,https://www.linkedin.com/jobs/view/4416589054/,,
QUEUED,369,Responsable gestion administrative et financiere H/F,CNRS,Greater Grenoble,🟢,Not stated,LinkedIn,2026-05-27,Public sector research — salary risk; confirm compensation before applying,https://www.linkedin.com/jobs/view/4416881585/,,
QUEUED,371,RESPONSABLE ADMINSTRATIF ET COMPTABLE H/F,Groupe Antilles-Glaces,Unknown,?,Not stated,LinkedIn,2026-05-28,Accounting function at ice cream/beverages company — likely weak fit,Not available,https://mail.google.com/mail/u/0/#all/19e74dd92db172b8,
,,,,,,,,,,,,
--- UNREADABLE GMAIL ALERTS --- Open each link to review HTML email and paste any relevant JD back,,,,,,,,,,,,
id,description,source,date_added,gmail_url,,,,,,,
334,APEC — 1 offre,APEC,2026-05-24,https://mail.google.com/mail/u/0/#all/19e5d7d6c86a4caa,,,,,,,
338,Cadremploi — Responsable Achats,Cadremploi,2026-05-24,https://mail.google.com/mail/u/0/#all/19e5f8cf530ea252,,,,,,,
339,Cadremploi — Contrôleur de Gestion,Cadremploi,2026-05-24,https://mail.google.com/mail/u/0/#all/19e5ead551035836,,,,,,,
340,Cadremploi — RAF (critères modifiés),Cadremploi,2026-05-24,https://mail.google.com/mail/u/0/#all/19e5d9d6ec20a8a1,,,,,,,
335,APEC — 6 offres,APEC,2026-05-25,https://mail.google.com/mail/u/0/#all/19e627f7f0baca98,,,,,,,
341,Cadremploi — Financial Controller,Cadremploi,2026-05-25,https://mail.google.com/mail/u/0/#all/19e63d35ea048635,,,,,,,
343,Cadremploi — RAF (1 offre),Cadremploi,2026-05-25,https://mail.google.com/mail/u/0/#all/19e63bb15596adfa,,,,,,,
345,HelloWork — Expert-Comptable (3 offres),HelloWork,2026-05-25,https://mail.google.com/mail/u/0/#all/19e6437f5f92ca3e,,,,,,,
342,Cadremploi — Supply Chain,Cadremploi,2026-05-26,https://mail.google.com/mail/u/0/#all/19e68fb1e3213eb4,,,,,,,
344,Cadremploi — RAF (1 offre),Cadremploi,2026-05-26,https://mail.google.com/mail/u/0/#all/19e68c589ff6d1af,,,,,,,
346,HelloWork — Responsable Comptable (5 offres),HelloWork,2026-05-26,https://mail.google.com/mail/u/0/#all/19e69392be369aa2,,,,,,,
347,APEC — 12 offres,APEC,2026-05-27,https://mail.google.com/mail/u/0/#all/19e6eb0cea6eaaf1,,,,,,,
348,Cadremploi — RAF,Cadremploi,2026-05-27,https://mail.google.com/mail/u/0/#all/19e6e2c13de4c2cc,,,,,,,
349,Cadremploi — Financial Controller / Finance Manager,Cadremploi,2026-05-27,https://mail.google.com/mail/u/0/#all/19e6e1fc8ce466d5,,,,,,,
350,HelloWork — Responsable Comptable (4 offres — Menway),HelloWork,2026-05-27,https://mail.google.com/mail/u/0/#all/19e6dd23e1a102b4,,,,,,,
351,APEC — 17 offres (29/05/2026),APEC,2026-05-28,https://mail.google.com/mail/u/0/#all/19e72b0147351152,,,,,,,
352,Cadremploi — DAF / RAF / Chef Comptable,Cadremploi,2026-05-28,https://mail.google.com/mail/u/0/#all/19e749bb0997857b,,,,,,,
353,Cadremploi — CDG / RAF / Credit Mgr / DAF (5 alertes),Cadremploi,2026-05-28,https://mail.google.com/mail/u/0/#all/19e73475c60b88c6,,,,,,,
354,Cadremploi — Supply Chain + RAF,Cadremploi,2026-05-28,https://mail.google.com/mail/u/0/#all/19e72bfeaa6ba55f,,,,,,,
355,HelloWork — CDG-Comptable (3 offres),HelloWork,2026-05-28,https://mail.google.com/mail/u/0/#all/19e741bef325bd6b,,,,,,,
356,Indeed — RAF + Finance Director (multi-listing),Indeed,2026-05-28,https://mail.google.com/mail/u/0/#all/19e752df160483fe,,,,,,,
